Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4103805,-2.8207607,0.26718694,0.25191694,0.0002984252,0.19947508,0.0004974279,285.5,0.0,0.0,1.0
20000,1.3912995,-1.4119327,0.1917803,0.25222456,0.00029547128,0.19849044,0.00049260305,482.3888888888889,0.0,0.0,1.0
30000,1.3824701,-0.13811806,0.008139653,0.2512363,0.00029244355,0.19748117,0.00048765773,678.0,0.0,0.0,1.0
40000,1.3684598,0.0021368691,0.00048774554,0.25097707,0.0002894942,0.19649808,0.00048284052,731.1818181818181,0.0,0.0,1.0
50000,1.369078,0.026933586,0.0002838261,0.25312972,0.00028656534,0.19552177,0.0004780567,950.6666666666666,0.0,0.0,1.0
60000,1.3730096,0.0065033217,0.00022554454,0.2510294,0.00028361997,0.19453996,0.00047324586,1069.6,0.0,0.0,1.0
70000,1.3857334,-0.018778548,0.00025853084,0.25369084,0.00028052286,0.19350761,0.00046818735,1104.6666666666667,0.0,0.0,1.0
80000,1.3740747,-0.0066875056,0.00018576901,0.2511917,0.0002775833,0.19252777,0.00046338604,1284.625,0.0,0.0,1.0
90000,1.3919325,0.008372708,0.00018789464,0.24946038,0.00027459982,0.19153325,0.00045851298,1122.375,0.0,0.0,1.0
100000,1.4130918,0.008941137,0.00012563299,0.24890457,0.0002714478,0.19048259,0.0004533647,662.0,0.0,0.0,1.0
110000,1.4098723,0.00023135377,0.0002655069,0.24848288,0.0002684572,0.18948573,0.00044848,651.7272727272727,0.0,0.0,1.0
120000,1.3979266,0.005661309,0.00018192749,0.24756885,0.00026545057,0.18848352,0.00044356927,860.8571428571429,0.0,0.0,1.0
130000,1.3983445,0.011195546,0.00022441648,0.25123918,0.0002624957,0.18749857,0.00043874292,986.2857142857143,0.007692307806932009,0.007692307806932009,1.0
140000,1.3950969,-0.012036469,0.00024923022,0.24992572,0.00025946484,0.18648826,0.0004337925,1318.375,0.0,0.0,1.0
150000,1.3919696,-0.009653753,0.00013384719,0.25013947,0.00025652902,0.18550967,0.00042899733,846.0,0.020000000298023225,0.020000000298023225,1.0
160000,1.4121567,0.0023935826,0.00068607833,0.23846889,0.00025363723,0.18454576,0.00042427419,1153.357142857143,0.08571428592715945,0.08571428592715945,1.0
170000,1.435368,-0.008183256,0.00015305233,0.24357599,0.00025056515,0.18352169,0.00041925634,979.7857142857143,0.014285714498588018,0.014285714498588018,1.0
180000,1.4504935,-0.0037252496,0.0014583187,0.23988779,0.0002474877,0.18249589,0.00041422984,789.5384615384615,0.13333333594103655,0.13333333594103655,1.0
190000,1.4663023,0.0059194276,0.0053971214,0.2326695,0.00024454718,0.18151572,0.00040942698,468.5,0.21764705943710663,0.21764705943710663,1.0
200000,1.4732658,0.02023886,0.0024087373,0.24706647,0.00024152099,0.18050699,0.00040448425,690.8,0.13913043556006058,0.13913043556006058,1.0
210000,1.4685429,0.009632836,0.0007533578,0.22986543,0.00023850385,0.17950127,0.00039955624,561.3478260869565,0.052000000178813933,0.052000000178813933,1.0
220000,1.4748936,0.01975004,0.0014895513,0.23304316,0.00023552643,0.1785088,0.0003946931,392.69565217391306,0.10454545474865219,0.10454545474865219,1.0
230000,1.4852066,0.013992576,0.0007877246,0.24616131,0.00023258364,0.17752786,0.0003898865,400.64285714285717,0.03461538513119404,0.03461538513119404,1.0
240000,1.4791771,0.026760796,0.0034550212,0.2406681,0.00022948298,0.17649433,0.0003848221,435.969696969697,0.14000000134110452,0.14000000134110452,1.0
250000,1.5005014,0.026746223,0.0026435286,0.23603815,0.00022638899,0.17546299,0.00037976864,242.88888888888889,0.125000001086543,0.125000001086543,1.0
260000,1.5100658,0.09886587,0.007978898,0.2415107,0.00022338965,0.1744632,0.00037486965,197.41379310344828,0.16964285873941012,0.16964285873941012,1.0
270000,1.5186766,0.04647857,0.0062182625,0.24345133,0.00022049579,0.1734986,0.00037014304,131.92727272727274,0.16727272841063412,0.16727272841063412,1.0
280000,1.5113493,0.035996474,0.005735441,0.24464574,0.00021744143,0.17248045,0.00036515424,192.96774193548387,0.19047619295971735,0.19047619295971735,1.0
290000,1.5076308,0.110116065,0.011752582,0.24685812,0.00021449273,0.17149757,0.00036033802,123.64285714285714,0.2661971849664836,0.2661971849664836,1.0
300000,1.5148072,0.07775891,0.0116919195,0.25635234,0.0002112729,0.1704243,0.00035507898,129.90588235294118,0.1738095253351189,0.1738095253351189,1.0
310000,1.5215915,0.055791225,0.009008666,0.2436423,0.00020848983,0.16949658,0.0003505333,108.84057971014492,0.20147059014176621,0.20147059014176621,1.0
320000,1.5182121,0.022200353,0.00564142,0.2524288,0.00020560098,0.16853364,0.00034581486,134.1864406779661,0.11718750139698386,0.11718750139698386,1.0
330000,1.5202425,0.049108136,0.008905151,0.2484286,0.00020259741,0.16753246,0.000340909,129.63366336633663,0.1858585892301617,0.1858585892301617,1.0
340000,1.5125021,0.09903913,0.021293288,0.2470797,0.00019918593,0.16639529,0.0003353369,84.19727891156462,0.20939597647462116,0.20939597647462116,1.0
350000,1.4974325,0.11891865,0.016243408,0.25084537,0.00019653479,0.1655116,0.00033100674,65.70542635658914,0.18130081637603482,0.18130081637603482,1.0
360000,1.5117759,0.118625656,0.012474956,0.24857979,0.00019371917,0.16457304,0.0003264079,81.67592592592592,0.22272727516564456,0.22272727516564456,1.0
370000,1.5019134,0.078951515,0.014356972,0.24852723,0.00019041641,0.16347212,0.00032101342,93.39,0.27474747906730634,0.27474747906730634,1.0
380000,1.4940093,0.15365641,0.010458119,0.24855709,0.00018738613,0.16246201,0.0003160639,77.30597014925372,0.2914728726180949,0.2914728726180949,1.0
390000,1.4943453,0.18824378,0.03191801,0.2508733,0.00018433899,0.16144632,0.00031108691,50.97572815533981,0.332558145287425,0.332558145287425,1.0
400000,1.4955597,0.20457032,0.026061567,0.24282876,0.00018142971,0.16047657,0.00030633507,46.26068376068376,0.34406780284213817,0.34406780284213817,1.0
410000,1.488819,0.2494002,0.023762193,0.24019185,0.00017859363,0.15953118,0.00030170282,38.41841004184101,0.362500006146729,0.362500006146729,1.0
420000,1.4882045,0.19895889,0.028425386,0.24730986,0.00017533763,0.15844586,0.0002963847,38.80228136882129,0.3478599283771756,0.3478599283771756,1.0
430000,1.4788461,0.21735571,0.043713197,0.2468534,0.00017241192,0.15747061,0.000291606,30.153846153846153,0.3112716816925589,0.3112716816925589,1.0
440000,1.4698862,0.3025464,0.043401137,0.24576357,0.0001695978,0.15653259,0.00028700964,25.455497382198953,0.38233766962181437,0.38233766962181437,1.0
450000,1.476735,0.23718967,0.042766795,0.24694765,0.00016654856,0.15551618,0.0002820292,23.383480825958703,0.362287396570542,0.362287396570542,1.0
